LOCALIDAD;NUMERO DE BOMBARDEOS;FECHAS;XETRS89;YETRS89;BANDO;DESCRIPCIÓN;FUENTE;OBSERVACIONES;;
Usánsolo;2;01/04/1937  09/04/1937;514736.1285;4785164.66;Franquista;La zona de Usánsolo, perteneciente a Galdakao, fue bombardeada dos veces en abril de 1937.  En la primera cayó tan sólo un proyectil en la zona, sin causar víctimas. En la segunda ocasión , los grupos VB/88, K/88 y A/88 atacaron la zona. No se dispone de información sobre el número de víctimas que pudieron causar, ni si éstas fueron en Usánolo o en otras zonas de Galdakao. ;Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132.  El Liberal  Euzkadi;;;
Urrrusti;1;13/06/1937;514159.3603;4794464.681;Franquista;La aviación franquista bombardeó las posiciones republicanas en la zona del monte Urrusti, en Lezama. La Legión Condor participó en el ataque. Se desconoce el número de víctimas que pudiera haber habido a consecuencia del ataque.;Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO);;;
Lezama;5;Desde 21/05/1937 hasta 12/06/1937;513370.0589;4791185.177;Franquista;La aviación franquista bombardeó Lezama en cinco ocasiones entre mayo y junio de 1937. La Legión Condor  participó en la menos uno de estos ataques. El pueblo sufrió importantes daños, siendo destruidas varias casas, caseríos de la zona y la estación de ferrocarril. Se mencionan víctimas en las crónicas, pero no se especifica cuantas. ;Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  El Liberal  Euzkadi  Testimonio de George Steer;;;
Galdakao;18;Desde 04/01/1937 hasta 15/06/1937;512993.6556;4786373.879;Franquista;La población de Galdakao fue bombardeada hasta en 18 ocasiones entre enero y junio de 1937. Los barrios de Tximelarre, Olabaerri y El Gallo, el polígono industrial de Erletxe, la fábrica "La Cantábrica", las carreteras de las inmediaciones de la población y un buen número de casas resultaron dañados o destruidas. Los daños materiales fueron cuantiosos. En estos ataques participaron los grupos VB/88, A/88 y K/88, utilizándose aviones de los modelos "Junker Ju52" y "Heinkel He51". Estos bombardeos causaron víctimas, cuyo número exacto no es posible determinar. Sin embargo, el Gobierno Vasco registró hasta abril 22 muertos y 34 heridos. En los meses de mayo y junio se han podido registrar 14 muertos y 7 heridos, según "Euzkadi". En algunos de los ataques las crónicas mencionan víctimas entre la población, sin especificar cuantas. Podemos afirmar que hubo varias decenas de víctimas a consecuencia de estos bombardeos. ;Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Jefatura del Aire. Resumen de las operaciones del día. 3ª Sección (enero a agosto 1937). (JAROD)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132.  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Euzkadi  El Liberal  El Pensamietno Alavés  Testimonio de George Steer.;;;
Monte Jata;7;Desde 12/05/1937 hasta 19/05/1937;512789.8723;4805694.023;Franquista;Las posiciones republicanas en la zona del monte Jata, entre Bakio, Mungia y Maruri-Jatabe, fueron bombardeadas en 7 ocasiones durante el mes de mayo de 1937. La aviación italiana participó en varios de estos bombardeos. No se dispone de información sobre el número de víctimas que pudieron causar. ;Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Euzkadi  El Pensamiento Alavés;;;
Monte Gondramendi;2;19/05/1937  20/05/1937;512784.3803;4802510.834;Franquista;La aviación franquista bombardeó las posiciones republicanas en el monte Gondramendi, perteneciente a Mungia, en dos ocasiones durante el mes de mayo de 1937. La Legión Condor alemana participó al menos en uno de los ataques. No se dispone de más información.;Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Euzkadi;;;
Burbona;3;26/05/1937  31/05/1937  07/06/1937;512673;4763409;Franquista;La aviación franquista bombardeo las posiciones republicanas en la zona de Burbona en 3 ocasiones entre mayo y junio de 1937;EL Liberal ;;;
Mungia;19;Desde 01/05/1937 hasta 12/06/1937;512423.2764;4800188.546;Franquista;Mungia fue bombardeado en 19 ocasiones entre mayo y junio de 1937, aunque la mayoría de los ataques se concentraron en mayo. Aviones de los modelos ?Savoia Marchetti SM.81? del grupo Z7  y "Savoia Marchetti SM.79? , Junker Ju52? del grupo K/88 y ?Fiat Cr.32? participaron en los ataques. Tanto el pueblo como las carreteras adyacentes fueron bombardeadas. Se desconoce el número de víctimas que pudieron causar estos ataques, si bien en las crónicas de la época se menciona en múltiples ocasiones que hubo víctimas. En la crónica de "El Liberal" del 13 de junio de 1937 se planteó un panorama de destrucción total en el que el pueblo de Mungia ardía en gran parte. La destrucción material debió de ser importante. ;Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Comando Aviazione Legionaria. Jefatura del?Aire. Salamanca. Velani [Vincenzo Velardi], comendante della Aviazione Legionaria. (CALJA)  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)   Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  Jefatura del Aire. Resumen de las operaciones del día. 3ª Sección (enero a agosto 1937). (JAROD)  Euzkadi  El Liberal  Testimonio de George Steer;;;
Zeberio;4;Desde 29/04/1937 hasta 24/05/1937;511911.0114;4777316.849;Franquista;Zeberio fue bombardeado en cuatro ocasiones entre abril y mayo de 1937., participando en los ataques la Legión Condor alemana. El pueblo sufrió importantes destrozos según la crónica del "Euzkadi". El Gobierno Vasco registró en abril un muerto y cuatro heridos. En mayo hubo un bombardeo sin víctimas y en los otros dos se mencionan "algunas víctimas" en las crónicas de la época. ;IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  El Liberal  Euzkadi;;;
Orozko;1;15/04/1937;511124.2936;4773163.392;Franquista;La aviación franquista bombardeo la zona de Larrondo en Orozko, según "El Liberal". No se da más información al respecto. ;El Liberal;;;
Maruri-Jatabe;1;12/05/1937;510954.6054;4803567.6;Franquista;El pueblo de  Maruri-Jatabe fue bombardeado  el 12 de mayo de 1937. En la crónica del "Euzkadi" solo se informa del bombardeo, sin mencionar las consecuencias que pudo tener. ;Euzkadi;;;
Zamudio;6;Desde 05/05/1937 hasta 12/06/1937;510842.5428;4792416.456;Franquista;Zamudio fue bombardeado en seis ocasiones entre mayo y junio de 1937. La aviación italiana participó en al menos en alguno de estos bombardeos. En cuatro de estos ataques no se registraron víctimas, mientras que en los otros dos no se dispone de datos al respecto. ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Euzkadi  El Liberal  Testimonio de George Steer;;;
Zaratamo;5;Desde 24/04/1937 hasta  13/05/1937;510282.517;4784300.048;Franquista;Zaratamo fue bombardeado en cinco ocasiones en los meses de abril y mayo de 1937.  En abril el Gobierno Vasco registró tres muertos y seis heridos. No disponemos de datos al respecto para el mes de mayo. ;IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA);;;
Gatika;3;21/05/1937  24/05/1937  10/06/1937;510248.5818;4801127.557;Franquista;La aviación franquista bombardeó Gatika en tres ocasiones entre mayo y junio de 1937. Se causaron importantes destrozos según "Euzkadi". En uno de los casos no hubo víctimas, mientras que no se dispone de información al respecto en los otros dos. La Legión Condor participó en uno de los ataques, según la crónica del "Euzkadi".;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Euzkadi;;;
Altube;1;26/5/1937;510188.5789;4760298.52;Franquista;La aviación franquista bombardeó las posiciones republicanas en la zona de Altube,en Zuia.;Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN);;;
Andotoleta;2;26/05/1937  31/05/1937;510117.2286;4762972.425;Franquista;La aviación franquista bombardeó las posiciones republicanas en Andotoleta en dos ocasiones. Se arrojaron abundantes bombas. No se dispone de más información;El Lilberal;;;
Basauri;5;Desde 25/09/1936 hasta 16/06/1937;509527.6176;4787100.954;Franquista;Basauri fue bombardeado en 5 ocasiones entre septiembre de 1936 y junio de 1937. Los barrios de Ariz y El Boquete fueron objetivo de algunos de estos bombardeos. No disponemos de información concreta sobre el número de víctimas consecuencia de estos ataques. ;Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Jefatura del Aire. Resumen de las operaciones del día. 3ª Sección (enero a agosto 1937). (JAROD)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  El Noticiero Bilbaíno  La Gaceta del Norte  Euzkadi;;;
Derio;3;07/05/1937  19/05/1937  12/06/1937;509253.5709;4793259.274;Franquista;Derio fue bombardeado en tres ocasiones en mayo y junio de 1937. El cementerio de Vista Alegre, y el barrio de Artebakarra resultaron especialmente dañados. El pueblo se incendió a causa del primero de los ataques, en el que murió una persona y un número indefinido resultaron heridas. No se dispone de datos sobre el número de víctimas en los otros bombardeos. ;Secretaría General de S.E. el Jefe de Estado. Oficina de Información. Salamanca. (SGOI)  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  El Liberal  Testimonio de Aitor Miñambres. ;;;
Arrigorriaga;6;Desde 09/04/1937 hasta 29/05/1937;509094.3941;4783869.874;Franquista;Arrigorriaga fue bombardeado en 6 ocasiones entre abril y mayo de 1937. En dos de estos ataques no hubo víctimas  en otros dos murió una persona y en los dos restantes no disponemos de información al respecto. La Papelera de Arrigorriaga resultó dañada, junto a otros edificios. ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Euzkadi  El Liberal;;;
Ugao-Miravalles;12;Desde 09/04/1937 hasta 16/06/1937;507977.8376;4780751.327;Franquista;Ugao-Miravalles fue bombardeado en 12 ocasiones entre los meses de abril y junio de 1937. Sabemos que entre otros lugares resultaron dañados el puente del ferrocarril, unos talleres de carpintería y la casa de guardia de la zona fabril, además de casas particulares. No disponemos de información sobre el número de víctimas que pudieron causar estos ataques. En tres de ellos no hubo ninguna víctima. Se desconoce el dato en el resto de los casos. ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO) Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Euzkadi  El Liberal;;;
Malmasin;2;15/06/1937  16/06/1937;507895.7078;4786066.474;Franquista;La aviación franquista bombardeó las posiciones republicanas en la zona de Malmasin, perteneciente a Arrigorriaga. La Legión Condor alemana participó en estos ataques. No se dispone de información sobre el número de víctimas que pudieron causar. ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Euzkadi  El Mundo;;;
Bombardeos de la zona de Ibaizabal;2;07/05/1937  11/05/1937;507666.7067;4788062.112;Franquista;La aviación franquista bombardeó la zona de Ibaizabal, en las afueras de Bilbao, y las pequeñas poblaciones de que allí se encontraban. No se dispone de información sobre las consecuencias de esto ataques.;Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  El Liberal  Euzkadi;;;
Artxanda;4;Desde 14/06/1937 hasta 17/06/1937;506606.68;4791334.833;Franquista;La zona de Artxanda, perteneciente a Bilbao, fue bombardeada en cuatro ocasiones en junio de 1937. Las crónicas de la época no especifican nada al respecto de las víctimas que pudo haber. ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Euzkadi  Testimonio de George Steer;;;
Arrankudiaga;1;15/05/1937;506211.6437;4780132.957;Franquista;La aviación franquista bombardeó la zona de Arrankudiaga lanzando proyectiles de cañón del calibre 21. No se dispone de más información.;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Euzkadi;;;
Sondika;17;Desde 24/04/1937 hasta 15 /06/1937;506000.6585;4793918.224;Franquista;Sondika fue bombardeado en 17 ocasiones entre abril y junio de 1937. .  El grupo VB/88 compuesto por aviones de los modelos ?Junker Ju52?, ?Dornier Do17? y ?Heinkel He111?  y el grupo K/88 participaron en los ataques. El centro del pueblo y las carreteras cercanas fueron atacadas y sufrieron daños. No se dispone de datos concretos sobre el número de víctimas que pudieron producir estos bombardeos. Sabemos que en dos de ellos no hubo víctimas. ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Jefatura del Aire. Resumen de las operaciones del día. 3ª Sección (enero a agosto 1937). (JAROD)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  El Liberal  Euzkadi;;;
Gorliz;1;12/06/1937;505317.0803;4806732.845;Franquista;La aviación franquista bombardeó la zona de Gorliz, destruyendo algunas casas y dañando el Sanatorio Marino. Según ?El Liberal? no se registraron víctimas. ;El Liberal;;;
Bilbao;40;Desde 25/09/1936 hasta 19/06/1937;505275.7772;4790025.181;Franquista;Bilbao y las inmediaciones de la ciudad fueron bombardeados en 40 ocasiones entre septiembre de 1936 y junio de 1937. Fue una de las ciudades más castigadas por la aviación y los destrozos causados por las bombas fueron muy graves, además de las víctimas que hubo. Tanto la aviación italiana con aviones de los modelos "Caproni 133" y Savoia Marchetti SM.79?, como la Legión Condor alemana, con los modelos ?Junker Ju52?, "Messerschmitt Bf.109?  y ?Heinkel He52?  participaron en estos ataques. Buena parte de la ciudad resultó dañada: las calles Correo, Bailén, Bidebarrieta, Calzadas, El Arenal, Plaza Nueva, Estación, Muelle de Ripa, Plaza de Albia, Muelle de Uribitarte, Colón de Larreategui, Ledesma, Avenida Mazarredo, Berástegui, Henao, Plaza de Zabalburu, Rampas de Uribitarte,  Hurtado de Amézaga, Plaza de Abando y García Salazar, Santutxu, Zumarraga, Larrinaga, San Francisco, Iturribide, Ollerías o el muelle de Marzana  así como en los barrios de Deusto, Zorroza, Buia y Buena Vista,  la Universidad Comercial,  los Diques Euskalduna, los puentes de la ciudad y en las inmediaciones del Hospital de San Luis. Los caseríos de las inmediaciones del casco urbano y las carreteras de la zona también fueron atacadas y sufrieron daños considerables. En cuanto a las víctimas, si bien es imposible dar cifras exactas, con los datos de los que se dispone, sacados de informes del Gobierno Vasco y de las crónicas periodísticas de la época, se llega a sumar aproximadamente 354 muertos y más de 800 heridos. En cualquier caso, estas no serían cifras definitivas. ;Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Secretaría General de S.E. el Jefe de Estado. Oficina de Información. Salamanca. (SGOI)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132.  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Comando Aviazione Legionaria. Jefatura del?Aire. Salamanca. Velani [Vincenzo Velardi], comendante della Aviazione Legionaria. (CALJA)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Euzkadi  El Liberal  El Pensamiento Alavés  La Gaceta del Norte  EL Nervión  Testimonio de George Steer;;;
Loiu;1;14/06/1937;504924.9277;4795665.098;Franquista;Loiu fue bombardeado el 14 de junio de 1937. La Legión Condor alemana participó en el ataque. No se dispone de más información sobre este hecho. ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN);;;
Uzkiano;1;24/05/1937;504583.4773;4760783.45;Franquista;La aviación franquista bombardeó las posiciones republicanas en la zona de Uzkiano, en Zuia. Según la crónica del "Euzkadi" bombardearon también sus propias posiciones. Se habla de víctimas, pero no se dispone de más información al respecto.;Euzkadi  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN);;;
Pagasarri;2;02/04/1937  17/06/1937;504477.1933;4785013.14;Franquista;La zona del monte Pagasarri, donde existían posiciones republicanas, fue bombardeada en dos ocasiones por la aviación franquista. No se dispone de más datos al respecto.;Partes de Misión de las Fuerzas Aéreas del Norte. (PMFAN)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO);;;
Plentzia;2;14/05/1937  23/05/1937;504338.0559;4805750.979;Franquista;Pletzia fue bombardeado por la aviación franquista en dos ocasiones durante el mes de mayo de 1937. La aviación italiana participaron en al menos uno de los dos casos. En el primero de los bombardeos no hubo víctimas. No se dispone de información en el segundo.;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO);;;
Erandio;10;Desde 04/01/1937 hasta 15/06/1937;504269.0689;4794557.262;Franquista;Erandio fue bombardeado en diez ocasiones entre enero y junio de 1937. El barrio de Asúa, las calles de Jado, Ibarra, Obieta, Urioste y San Vicente, la zona del ferrocarril y la iglesia de San Agustín resultaron dañadas y varias casas destruidas completamente. En enero se registraron 17 víctimas, al menos una de ellas mortal. En abril el Gobierno Vasco registró 29 muertos y 37 heridos en Erandio. En mayo la crónica del "Euzkadi" habló de 16 heridos en el bombardeo de Erandio. No se dispone de más información al respecto. ;Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Euzkadi  El Liberal El Noticiero Bilbaíno;;;
Txibiarte;2;26/05/1937  27/05/1937;503993.3613;4761722.468;Franquista;La aviación franquista bombardeó las posiciones republicanas en Txibiarte;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca (LCIJA)  Euzkadi  El Pensamiento Alavés ;;;
Asua;2;14/06/1937  15/06/1937;503713.218;4793844.799;Franquista;La zona de Asua en Erandio fue bombardeada en dos ocasiones en junio de 1937. No se dispone de información sobre las consecuencias de dichos ataques.;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN);;;
Laudio;2;24/05/1937  14/06/1937;502913.9934;4776370.758;Franquista;Varios aviones franquistas bombardearon Laudio, cayendo proyectiles en la plaza y en el río. Se produjeron dos ataques, en mayo y en junio. Al menos en el primero no hubo víctimas.;Euzkadi  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA);;;
Sopela;1;23/05/1937;501491.9231;4803096.707;Franquista;La aviación franquista bombardeó el pueblo de Sopela el 23 de mayo de 1937. No se dispone de información sobre las consecuencias del ataque. ;Testimonio de Mercedes Iribarren ;;;
Alonsotegi;3;13/05/1937  13/06/1937  19/06/1937;500994.4215;4787572.32;Franquista;La zona de Alonsotegi fue bombardeada en tres ocasiones entre mayo y junio de 1937. La Legión Condor alemana participó al menos en uno de los ataques. No disponemos de información sobre el número de víctimas que pudieron causar.;Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Euzkadi;;;
Barakaldo;10;Desde 25/09/1936 hasta 18/06/1937;500725.4029;4793568.628;Franquista;Barakaldo fue bombardeado por la aviación franquista en 10 ocasiones entre septiembre de 1936 y junio de 1937. Los barrios de Ariz, Lutxana y Burceña fueron objetivo de estos ataques. Más concretamente, sabemos que en uno de los bombardeos resultaron dañadas la cooperativa Bide Onera, los comedores de Asistencia Social y el Matadero Municipal. Sobre el número de víctimas no se tienen datos concretos, pero en abril de 1937 el Gobierno Vasco registró 30 muertos y 22 heridos, a los que habría que sumar algunas víctimas tanto anteriores como posteriores. ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Euzkadi  El Liberal  EL Noticiero Bilbaíno  La Gaceta del Norte  Testimonio de George Steer.;;;
Sestao;6;Desde 04/01/1937 hasta 23/05/1937;500409.9008;4795298.759;Franquista;Sestao fue bombardeado en seis ocasiones entre enero y mayo de 1937. Las fábricas de ?Altos Hornos?, ?Aurrerá? y ?La Naval?, la zona junto al tren, la campa de San Francisco y la carretera de entrada al pueblo sufrieron daños de consideración, así como las calles y casas del pueblo. También quedaron destruidos completamente varios edificios en las calles Txabarri, Lorenzo Llona e Iberia, así como en los barrios de Vista Alegre y la Unión. Hasta el mes de abril el Gobierno Vasco registró 14 muertos y 18 heridos, a los que habría que sumar los 22 muertos y 80 heridos que se produjeron, según el Secretario General de Gobernación en testimonio dado al "Euzkadi" tras el bombardeo del 23 de mayo. No se dispone de más datos a este respecto, por lo que no se puede dar un número exacto de víctimas. ;IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  El Liberal  Euzkadi  El Noticiero Bilbaíno;;;
Berango;1;24/04/1937;500212.2913;4801283.164;Franquista;Berango fue bombardeado el 24 de abril de 1937. Fueron lanzadas 3 bombas que según la crónica de "El Liberal" causaron "algunas víctimas. No se dispone de más información. ;IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  El Liberal;;;
Luyando;1;01/01/1937;500210.2195;4772229.949;Franquista;Tras un fallido intento de llegar a Bilbao, la aviación franquista dejó caer algunas bombas sobre Luyando. Una persona murió a consecuencia del bombardeo y otras dos resultaron heridas, siempre según la crónica de "Euzkadi".;Euzkadi  El Nervión ;;;
Amurrio;2;26/05/1937  31/05/1937;500009.2149;4766764.883;Franquista;La aviación franquista bombardeó Amurrio en dos ocasiones entre el 26 y el 31 de mayo de 1937.  Un caza alemán lanzó desde el aire bombas de mano que causaron un muerto y un número de heridos indefinido en uno de los casos. En el otro ataque no hubo víctimas aunque sí destrozos materiales. ;Euzkadi  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI) ;;;
